artist1.x,artist,track,url,artist1.y,birth,death
Thibaut de Champagne,Thibaut de Champagne (1201-1253),Puisk'il m'estuet,https://open.spotify.com/track/1L2NfH5XrB0qkLthXRbCpS,Thibaut de Champagne,1201,1253
Henry Purcell,Henry Purcell (1659-1695),"Abdelazer, Z.570: 2. Rondeau",https://open.spotify.com/track/5TLI2Zez1KvXru9DHYC99Z,Henry Purcell,1659,1695
Jean-Baptiste Lully,Jean-Baptiste Lully (1632-1687),Marche pour la cérémonie des Turcs,https://open.spotify.com/track/5UO0mq9xiBiwwfA91u8YQn,Jean-Baptiste Lully,1632,1687
György Ligeti,György Ligeti (1923-2006),Lux aeterna,https://open.spotify.com/track/7ad0L78kp6iJrHZikRvkJj,György Ligeti,1923,2006
Matteo da Perugia,Matteo da Perugia (1400-1416),Ave sancta mundi salus - Agnus dei,https://open.spotify.com/track/2CFT3vI5JQGxQOkpDS1OTQ,Matteo da Perugia,1400,1416
Pierre Attaingnant,Pierre Attaingnant (1494-1551),La Magdalena,https://open.spotify.com/track/5OYdwMSKwnZR9LnWenChvQ,Pierre Attaingnant,1494,1551
Georg Philipp Telemann,Georg Philipp Telemann (1681-1767),"Recorder Concerto in C Major, TWV 51:C1: IV. Tempo di Minuet",https://open.spotify.com/track/4DInMstD7cdWfnSHwtB7UI,Georg Philipp Telemann,1681,1767
Georg Philipp Telemann,Georg Philipp Telemann (1681-1767),"Sonata for 4 Violins in G Minor, TWV 40:201: I. Largo e staccato",https://open.spotify.com/track/0LWHku6CeveGybTW8tNdlb,Georg Philipp Telemann,1681,1767
Jean-Baptiste Lully,Jean-Baptiste Lully (1632-1687),"Lully: Ballet des muses, LWV 32: Air. ""Trop indiscret Amour"" (Euridice)",https://open.spotify.com/track/2zUoxM02p2aSy7LOfI5rCy,Jean-Baptiste Lully,1632,1687
György Ligeti,György Ligeti (1923-2006),Ligeti: Atmosphères,https://open.spotify.com/track/3HVUDpc6RNoY4d1zF5F287,György Ligeti,1923,2006
Franz Schubert,Franz Schubert (1797-1828),"Winterreise, D. 911: No. 5, Der Lindenbaum",https://open.spotify.com/track/5mMJLbhUc07A6x23HFypsv,Franz Schubert,1797,1828
Gioachino Rossini,Gioachino Rossini (1792-1868),Il barbiere di Siviglia: Overture (Sinfonia),https://open.spotify.com/track/1chTrqszWQEOP4RsNuOZf7,Gioachino Rossini,1792,1868
Jean Sibelius,Jean Sibelius (1865-1957),"13 Pieces, Op. 76: No. 2 Etude",https://open.spotify.com/track/4StypY6VnE9BqgqQ0ni1tg,Jean Sibelius,1865,1957
Robert Schumann,Robert Schumann (1810-1856),"Papillons, Op. 2: No. 11",https://open.spotify.com/track/2mDEaxFxyzecnvTvrxxM1h,Robert Schumann,1810,1856
Sergei Rachmaninoff,Sergei Rachmaninoff (1873-1943),"Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando",https://open.spotify.com/track/0gmDkDRe0WL66N7Vt2Xr3H,Sergei Rachmaninoff,1873,1943
Sergei Prokofiev,Sergei Prokofiev (1891-1953),"Prokofiev: Violin Concerto No. 2 in G Minor, Op. 63: I. Allegro moderato",https://open.spotify.com/track/0wonrrca3HtSgjKrN2iYsB,Sergei Prokofiev,1891,1953
François Couperin,François Couperin (1668-1733),Les baricades mystérieuses - Arranged By Göran Söllscher,https://open.spotify.com/track/6sLr7HzQe2xQVhBmhrT3vU,François Couperin,1668,1733
Georg Muffat,Georg Muffat (1653-1704),Violin Sonata in D Major: I. [Adagio] - II. [Allegro - Adagio - Allegro - Adagio],https://open.spotify.com/track/7zN9zLRUCwKs19JcOQXvPh,Georg Muffat,1653,1704
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart (1756-1791),"Die Hochzeit des Figaro, K. 492, 3. Akt: Canzonetta sull aria… Che soave zeffiretto (Die Verurteilten): Sinfonia",https://open.spotify.com/track/7kwCAXd0GeQvWvfTgCjaNX,Wolfgang Amadeus Mozart,1756,1791
Pierre Boulez,Pierre Boulez (1925-2016),"Le marteau sans maître: I. Avant ""L'Artisanat furieux""",https://open.spotify.com/track/6soONSnPvVf2XhMA1Uua8D,Pierre Boulez,1925,2016
John Adams,John Adams (1947-NA),Hallelujah Junction,https://open.spotify.com/track/0lkddr8XvgjbZ5Pl2sVrZe,John Adams,1947,NA
Pérotin,Pérotin (1160-1236),Viderunt omnes: ...Fines terre salutare dei nostri jubilate deo omnis terra (plainchant),https://open.spotify.com/track/08j1zOPmWQaGRhwSdklMzi,Pérotin,1160,1236
Léonin,Léonin (1135-1201),Viderunt omnes No. 1: Viderunt omnes... (2-part organum),https://open.spotify.com/track/1TCx5p8MDtp71mOsVpHIQG,Léonin,1135,1201
Philippe de Vitry,Philippe de Vitry (1291-1361),"Colla iugo subdere - Bona condit cetera - Libera me, Domine (Motette)",https://open.spotify.com/track/1WNIHbGue66FLhCb6SDay9,Philippe de Vitry,1291,1361
Philippe de Vitry,Philippe de Vitry (1291-1361),Garrit Gallus flendo dolorose - In nova fert animus - Neuma (Motette),https://open.spotify.com/track/14n9P7MzL2YFQgGIC6yBLu,Philippe de Vitry,1291,1361
John Dowland,John Dowland (1563-1626),Lachrimae,https://open.spotify.com/track/0fekKJ0yfD66n4kKcFajH8,John Dowland,1563,1626
Richard Wagner,Richard Wagner (1813-1883),"Die Walkürie, WWV 86b, Act III: Ride of the Valkyries",https://open.spotify.com/track/1s1wyovcNngTNEsRjMKmmn,Richard Wagner,1813,1883
Carl Nielsen,Carl Nielsen (1865-1931),"Aladdin Suite, Op. 34, FS 89: I. The Festival March",https://open.spotify.com/track/3gq4DPPn7Cwkv6RILbJv9s,Carl Nielsen,1865,1931
Maurice Ravel,Maurice Ravel (1875-1937),"Boléro, M. 81",https://open.spotify.com/track/5SkFRiZlENekv11Uj20UdJ,Maurice Ravel,1875,1937
Luciano Berio,Luciano Berio (1925-2003),Sinfonia for 8 Voices and Orchestra: III. In ruhig fließender Bewegung,https://open.spotify.com/track/2FsnxIH8Du6WqejN6FtUDk,Luciano Berio,1925,2003
Josquin des Prez,Josquin des Prez (1450-1521),Missa l'homme armé super voces musicales: V. Agnus Dei,https://open.spotify.com/track/0Z0JD8rj0ZgQ9zuHawbUdg,Josquin Des Prez,1450,1521
George Frideric Handel,George Frideric Handel (1685-1759),"Trio Sonata for 2 Violins and Continuo in G Minor, HWV 393 ""Dresden"" No. 2: III. Largo (Arr. for Oboe, Violin, Harpsichord and Orchestra by Andreas Tarkmann)",https://open.spotify.com/track/6ajRRfc2LHpk9Ln8tKIrf5,George Frideric Handel,1685,1759
Marin Marais,Marin Marais (1656-1728),"Pièces de viole, Livre 3 - Suite No. 7 in G Major: No. 92. Prélude. Lentement",https://open.spotify.com/track/2uzur7yhtXRMIoMQqgqCbd,Marin Marais,1656,1728
Claude Debussy,Claude Debussy (1862-1918),"Images For Orchestra, L. 122 / 2. Ibéria: 1. Par les rues et par les chemins",https://open.spotify.com/track/1GC6iDuEKiWhmaPyydzp7S,Claude Debussy,1862,1918
Robert Schumann,Robert Schumann (1810-1856),"Schumann: Piano Concerto in A Minor, Op. 54: I. Allegro affettuoso",https://open.spotify.com/track/2JzsHRzDT3kCokSu0ggZ8U,Robert Schumann,1810,1856
Gustav Mahler,Gustav Mahler (1860-1911),"Symphony No. 2 in C Minor ""Resurrection"": I. Allegro maestoso - Mit durchaus ernstem und feierlichem Ausdruck",https://open.spotify.com/track/0hBIISqYVIvY8ikBaeTVEk,Gustav Mahler,1860,1911
Pierre Boulez,Pierre Boulez (1925-2016),"Boulez: 12 Notations pour piano: No. 1, Fantasque - Modéré",https://open.spotify.com/track/1m2obS65C00fDT0AUyeEwI,Pierre Boulez,1925,2016
Toru Takemitsu,Toru Takemitsu (1930-1996),"Piano Pieces for Children: No. 2, Clouds",https://open.spotify.com/track/2iRsotmmKJqxEPriYuMxDj,Toru Takemitsu,1930,1996
Toru Takemitsu,Toru Takemitsu (1930-1996),Saegirarenai kyusoku: III. A song of love (Uninterrupted Rest),https://open.spotify.com/track/11YQqfpWpsjtapYzTRlhlB,Toru Takemitsu,1930,1996
Michael Praetorius,Michael Praetorius (1571-1621),Suite No. 1 in C Major: II. Spagnoletta,https://open.spotify.com/track/54zeWeNKZHaNYKY2lHY1gY,Michael Praetorius,1571,1621
Antonio Vivaldi,Antonio Vivaldi (1678-1741),"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",https://open.spotify.com/track/64ZxBE1ZgK4C0lGljXzDcG,Antonio Vivaldi,1678,1741
Giovanni Battista Pergolesi,Giovanni Battista Pergolesi (1710-1736),Lo frate 'nnamorato: II. Andante,https://open.spotify.com/track/6xhVf7SgpsCDV0im95XTe3,Giovanni Battista Pergolesi,1710,1736
Felix Mendelssohn,Felix Mendelssohn (1809-1847),"Violin Concerto In E Minor, Op. 64, MWV O14: I. Allegro molto appassionato",https://open.spotify.com/track/0gXVAsYYkkEqAB1pwAnRVM,Felix Mendelssohn,1809,1847
Amy Beach,Amy Beach (1867-1944),"Young Birches, Op. 128, No. 2",https://open.spotify.com/track/4VVEfBXep7FdOt524jkfLF,Amy Beach,1867,1944
Iannis Xenakis,Iannis Xenakis (1922-2001),Metastaseis,https://open.spotify.com/track/79yUST37eI7V4CyMnvKOOv,Iannis Xenakis,1922,2001
Elliott Carter,Elliott Carter (1908-2012),"2 Thoughts About the Piano, No. 2. Caténaires: 2 Thoughts About the Piano: No. 2, Caténaires",https://open.spotify.com/track/4KAUr4cEzbifN7Xy2ALEOu,Elliott Carter,1908,2012
Francisco de Peñalosa,Francisco de Peñalosa (1470-1528),Por Las Sierras De Madrid,https://open.spotify.com/track/28FRxQGonGm37cmCkdAIrB,Francisco de Peñalosa,1470,1528
Jan Pieterszoon Sweelinck,Jan Pieterszoon Sweelinck (1562-1621),"Pseaumes de David, Livre 2: No. 30, Resveillez-vous, chacun fidèle",https://open.spotify.com/track/6aFgeazT8FPb8jaAyHleBs,Jan Pieterszoon Sweelinck,1562,1621
Michel Corrette,Michel Corrette (1707-1795),Noel Symphony No. 4 in D Minor: I. Une jeune pucelle: Moderato,https://open.spotify.com/track/6JkDThoofgbKj59ykGwRph,Michel Corrette,1707,1795
Giuseppe Verdi,Giuseppe Verdi (1813-1901),Dies Irae,https://open.spotify.com/track/3By9jCy6b4dv5XnlhvIWwx,Giuseppe Verdi,1813,1901
Bedřich Smetana,Bedřich Smetana (1824-1884),"6 Album Leaves, Op. 2, JB 1:51: No. 2 in A Minor, Chanson. Moderato",https://open.spotify.com/track/01bE92ADfWtIskqhPwvj58,Bedrich Smetana,1824,1884
Igor Stravinsky,Igor Stravinsky (1882-1971),"Stravinsky: The Rite of Spring, Pt. 1 ""Adoration of the Earth"": Introduction - Augurs of Spring - Dances of the Young Girls - Ritual of Abduction",https://open.spotify.com/track/6FQsHpV1DREJFMBZmMKITF,Igor Stravinsky,1882,1971
